"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SYMPHONY","EQ","11-Sep-2018","       1014.20","       1019.20","       1029.50","        997.05","       1001.00","       1000.40","       1003.78","      49336","            49522700.05","       3431","      41312","         83.74"
"SYMPHONY","EQ","12-Sep-2018","       1000.40","       1000.40","       1024.05","        984.05","       1007.00","       1013.85","       1007.93","      86346","            87030829.00","       4816","      68932","         79.83"
"SYMPHONY","EQ","14-Sep-2018","       1013.85","       1015.00","       1060.65","       1012.05","       1036.00","       1042.55","       1034.56","      56906","            58872756.85","       3375","      38668","         67.95"
"SYMPHONY","EQ","17-Sep-2018","       1042.55","       1042.55","       1042.90","       1031.05","       1031.05","       1037.05","       1037.19","       8221","             8526729.60","       1129","       4605","         56.02"
"SYMPHONY","EQ","18-Sep-2018","       1037.05","       1038.00","       1043.00","        997.00","       1021.25","       1020.25","       1019.39","      17029","            17359212.50","       2099","      11150","         65.48"
"SYMPHONY","EQ","19-Sep-2018","       1020.25","       1020.20","       1020.20","        992.70","       1000.00","       1009.60","       1007.31","      26231","            26422812.50","       3280","      18434","         70.28"
"SYMPHONY","EQ","21-Sep-2018","       1009.60","       1043.00","       1043.00","        990.00","       1016.00","       1018.10","       1019.59","      52379","            53405122.10","       5939","      34330","         65.54"
"SYMPHONY","EQ","24-Sep-2018","       1018.10","       1015.00","       1039.00","        971.05","       1020.00","       1017.40","        991.85","      41909","            41567599.65","       4520","      28874","         68.90"
"SYMPHONY","EQ","25-Sep-2018","       1017.40","       1004.50","       1050.00","        990.00","       1030.00","       1015.35","       1005.69","      15166","            15252286.15","       1505","       7622","         50.26"
"SYMPHONY","EQ","26-Sep-2018","       1015.35","       1022.95","       1022.95","        991.15","        999.00","       1009.15","       1001.67","      12255","            12275469.00","       1779","       4967","         40.53"
"SYMPHONY","EQ","27-Sep-2018","       1009.15","       1010.00","       1017.00","        979.00","        980.00","        985.70","        997.53","      16017","            15977436.80","       2163","       7001","         43.71"
"SYMPHONY","EQ","28-Sep-2018","        985.70","        989.75","       1000.00","        931.00","        985.30","        980.45","        972.20","      27052","            26299931.90","       3094","      12448","         46.02"
"SYMPHONY","EQ","01-Oct-2018","        980.45","        981.00","        981.00","        935.05","        959.00","        956.55","        953.03","      19290","            18383861.55","       1954","       9385","         48.65"
"SYMPHONY","EQ","03-Oct-2018","        956.55","        968.95","        968.95","        917.00","        925.00","        927.40","        937.70","      17955","            16836406.95","       3394","       8548","         47.61"
"SYMPHONY","EQ","04-Oct-2018","        927.40","        920.00","        945.00","        912.00","        930.00","        927.25","        931.99","      20524","            19128165.35","       1452","      12622","         61.50"
"SYMPHONY","EQ","05-Oct-2018","        927.25","        920.00","        932.70","        850.05","        857.85","        871.00","        890.08","      21040","            18727202.85","       2261","      12473","         59.28"
"SYMPHONY","EQ","08-Oct-2018","        871.00","        870.00","        890.00","        815.25","        890.00","        852.95","        834.35","     108580","            90593901.45","       6390","      52408","         48.27"
"SYMPHONY","EQ","09-Oct-2018","        852.95","        869.95","        945.00","        855.00","        942.00","        926.70","        904.71","      41874","            37883889.35","       4010","      14863","         35.49"
"SYMPHONY","EQ","10-Oct-2018","        926.70","        927.00","        964.95","        927.00","        953.90","        957.15","        943.76","      26057","            24591527.85","       2308","       5819","         22.33"
"SYMPHONY","EQ","11-Oct-2018","        957.15","        940.00","        989.80","        926.00","        978.90","        977.95","        954.54","      12695","            12117854.10","       2007","       4365","         34.38"
"SYMPHONY","EQ","12-Oct-2018","        977.95","        992.00","       1000.00","        970.00","        972.20","        981.30","        985.19","      11815","            11640068.85","       1447","       3980","         33.69"
"SYMPHONY","EQ","15-Oct-2018","        981.30","        985.00","        998.00","        975.65","        993.00","        994.65","        987.72","       9610","             9491953.40","       1063","       5252","         54.65"
"SYMPHONY","EQ","16-Oct-2018","        994.65","        985.10","       1009.75","        984.90","        997.80","        997.65","        996.19","       8093","             8062199.85","        743","       4450","         54.99"
"SYMPHONY","EQ","17-Oct-2018","        997.65","       1014.80","       1018.00","        987.20","        990.00","        996.45","       1007.04","      11197","            11275870.60","       1758","       6317","         56.42"
"SYMPHONY","EQ","19-Oct-2018","        996.45","        998.80","        999.00","        954.70","        993.20","        993.90","        982.85","       7699","             7566949.15","       1478","       3624","         47.07"
"SYMPHONY","EQ","22-Oct-2018","        993.90","       1000.00","       1002.00","        963.50","        971.25","        975.65","        980.06","       5836","             5719656.05","       1929","       2928","         50.17"
"SYMPHONY","EQ","23-Oct-2018","        975.65","        971.25","        971.25","        952.00","        955.00","        959.50","        963.29","       4731","             4557344.05","        757","       3172","         67.05"
"SYMPHONY","EQ","24-Oct-2018","        959.50","        964.50","        980.90","        950.00","        957.90","        959.60","        964.51","       5298","             5109974.90","       1688","       2276","         42.96"
"SYMPHONY","EQ","25-Oct-2018","        959.60","        950.00","        959.95","        925.00","        926.40","        933.15","        942.90","       7124","             6717197.40","       1515","       4042","         56.74"
"SYMPHONY","EQ","26-Oct-2018","        933.15","        933.40","        937.15","        915.05","        920.00","        923.20","        924.34","       5726","             5292767.65","       1441","       3401","         59.40"
"SYMPHONY","EQ","29-Oct-2018","        923.20","        918.00","        965.00","        918.00","        958.00","        956.95","        949.16","       7252","             6883323.65","       1086","       3708","         51.13"
"SYMPHONY","EQ","30-Oct-2018","        956.95","        957.00","        969.75","        866.00","        883.00","        886.85","        912.35","     189009","           172441650.30","      11235","      42980","         22.74"
"SYMPHONY","EQ","31-Oct-2018","        886.85","        880.00","        911.00","        870.00","        910.00","        901.85","        890.00","      30513","            27156566.55","       2821","      13438","         44.04"
"SYMPHONY","EQ","01-Nov-2018","        901.85","        908.00","        974.90","        906.95","        970.00","        966.45","        945.01","      29712","            28078149.75","       2534","      12182","         41.00"
"SYMPHONY","EQ","02-Nov-2018","        966.45","        973.00","       1023.70","        970.00","       1014.00","       1013.90","       1008.26","      25937","            26151367.50","       3488","       9665","         37.26"
"SYMPHONY","EQ","05-Nov-2018","       1013.90","       1013.90","       1030.00","       1001.75","       1004.00","       1005.65","       1011.58","      10604","            10726794.90","       1137","       6501","         61.31"
"SYMPHONY","EQ","06-Nov-2018","       1005.65","       1013.70","       1023.00","        985.50","        992.00","        995.00","       1002.11","      20736","            20779764.30","       1335","      12911","         62.26"
"SYMPHONY","EQ","07-Nov-2018","        995.00","       1001.55","       1007.95","        973.60","       1002.00","       1000.05","        999.01","       2632","             2629388.80","        350","       1539","         58.47"
"SYMPHONY","EQ","09-Nov-2018","       1000.05","        995.00","        995.10","        963.00","        968.00","        967.10","        976.27","      20368","            19884635.85","       2043","      10181","         49.99"
"SYMPHONY","EQ","12-Nov-2018","        967.10","        970.00","        979.45","        956.80","        957.10","        962.95","        966.98","       5148","             4978002.05","        710","       2831","         54.99"
"SYMPHONY","EQ","13-Nov-2018","        962.95","        965.50","        965.50","        951.10","        964.90","        963.10","        961.65","       3947","             3795642.40","        704","       2389","         60.53"
"SYMPHONY","EQ","14-Nov-2018","        963.10","        964.00","        987.10","        963.75","        980.00","        979.95","        978.79","      66140","            64736937.85","       2916","      52943","         80.05"
"SYMPHONY","EQ","15-Nov-2018","        979.95","        985.00","        990.05","        957.50","        957.50","        964.45","        969.45","       6309","             6116244.20","        755","       3237","         51.31"
"SYMPHONY","EQ","16-Nov-2018","        964.45","        969.00","        974.50","        960.00","        963.00","        967.35","        967.60","       6159","             5959424.40","        801","       3161","         51.32"
"SYMPHONY","EQ","19-Nov-2018","        967.35","        975.80","       1030.00","        964.90","       1015.00","       1016.35","        995.92","      37990","            37834999.00","       2269","      19262","         50.70"
"SYMPHONY","EQ","20-Nov-2018","       1016.35","       1014.00","       1025.00","        992.85","       1000.00","       1010.55","       1006.25","      16171","            16272061.55","       1551","       3983","         24.63"
"SYMPHONY","EQ","21-Nov-2018","       1010.55","        999.90","       1011.90","        990.00","        994.00","        998.50","        997.80","       4967","             4956071.55","        698","       1582","         31.85"
"SYMPHONY","EQ","22-Nov-2018","        998.50","        992.85","       1014.85","        977.25","        978.00","        982.65","        987.33","       9169","             9052798.40","       1203","       4362","         47.57"
"SYMPHONY","EQ","26-Nov-2018","        982.65","        982.70","        994.70","        970.00","        983.00","        989.75","        986.45","       4940","             4873054.55","        732","       2786","         56.40"
"SYMPHONY","EQ","27-Nov-2018","        989.75","        989.00","        990.00","        976.00","        976.60","        983.35","        982.99","       3111","             3058088.05","        550","       1623","         52.17"
"SYMPHONY","EQ","28-Nov-2018","        983.35","        975.05","        997.15","        971.15","        980.35","        985.50","        988.69","      99754","            98626263.70","        849","      95927","         96.16"
"SYMPHONY","EQ","29-Nov-2018","        985.50","        992.05","        995.00","        965.00","        965.00","        972.95","        981.13","       6763","             6635379.15","       1035","       3630","         53.67"
"SYMPHONY","EQ","30-Nov-2018","        972.95","        974.90","        999.20","        961.35","        983.30","        989.65","        988.04","      17059","            16854936.80","       3524","       6613","         38.77"
"SYMPHONY","EQ","03-Dec-2018","        989.65","        989.65","       1024.90","        989.65","       1011.00","       1019.05","       1011.47","      17505","            17705776.10","       4041","       8853","         50.57"
"SYMPHONY","EQ","04-Dec-2018","       1019.05","       1019.00","       1055.00","       1006.50","       1032.05","       1037.70","       1033.16","      23644","            24428146.45","       4722","       7529","         31.84"
"SYMPHONY","EQ","05-Dec-2018","       1037.70","       1035.00","       1039.90","       1001.00","       1001.10","       1003.40","       1017.51","      10982","            11174307.50","       2920","       5804","         52.85"
"SYMPHONY","EQ","06-Dec-2018","       1003.40","       1001.10","       1011.45","        992.05","        997.10","       1000.70","       1001.13","       7503","             7511457.95","       1264","       3460","         46.11"
"SYMPHONY","EQ","07-Dec-2018","       1000.70","        994.00","       1020.00","        987.65","       1005.90","       1006.95","        999.16","       7440","             7433731.60","       1019","       4627","         62.19"
"SYMPHONY","EQ","10-Dec-2018","       1006.95","       1000.05","       1000.10","        966.00","        985.00","        987.85","        985.00","       3717","             3661235.10","        615","       2114","         56.87"
"SYMPHONY","EQ","11-Dec-2018","        987.85","        985.00","       1058.00","        973.65","       1049.00","       1049.10","       1034.11","      19334","            19993475.90","       2024","       9975","         51.59"
"SYMPHONY","EQ","12-Dec-2018","       1049.10","       1052.00","       1096.00","       1035.00","       1068.00","       1073.90","       1064.04","      19706","            20967991.50","       2181","       7282","         36.95"
"SYMPHONY","EQ","13-Dec-2018","       1073.90","       1080.10","       1129.00","       1051.95","       1123.00","       1123.20","       1102.19","      32527","            35850922.20","       2977","      16864","         51.85"
"SYMPHONY","EQ","14-Dec-2018","       1123.20","       1116.00","       1150.00","       1111.00","       1130.00","       1134.10","       1127.23","      13456","            15168016.00","       1717","       7300","         54.25"
"SYMPHONY","EQ","17-Dec-2018","       1134.10","       1130.00","       1174.90","       1107.00","       1165.00","       1165.35","       1145.87","      32092","            36773314.25","       3818","      12676","         39.50"
"SYMPHONY","EQ","18-Dec-2018","       1165.35","       1150.05","       1185.00","       1144.05","       1156.00","       1156.60","       1164.16","      11733","            13659045.85","       1710","       5213","         44.43"
"SYMPHONY","EQ","19-Dec-2018","       1156.60","       1151.10","       1222.00","       1148.05","       1215.00","       1214.65","       1197.18","      50859","            60887549.20","       4709","      21258","         41.80"
"SYMPHONY","EQ","20-Dec-2018","       1214.65","       1210.00","       1234.80","       1187.60","       1208.00","       1217.10","       1220.97","      14392","            17572161.85","       2718","       6694","         46.51"
"SYMPHONY","EQ","21-Dec-2018","       1217.10","       1210.05","       1227.95","       1140.00","       1156.55","       1163.75","       1176.47","      23728","            27915314.40","       3637","      13777","         58.06"
"SYMPHONY","EQ","24-Dec-2018","       1163.75","       1173.10","       1176.60","       1140.00","       1141.75","       1149.50","       1156.80","      12541","            14507471.30","       1434","       3574","         28.50"
"SYMPHONY","EQ","26-Dec-2018","       1149.50","       1149.50","       1149.50","       1020.00","       1074.50","       1076.75","       1078.46","      30699","            33107754.35","       4580","       8919","         29.05"
"SYMPHONY","EQ","27-Dec-2018","       1076.75","       1082.00","       1115.00","       1070.60","       1090.00","       1092.65","       1097.59","      12485","            13703401.35","       1773","       3306","         26.48"
"SYMPHONY","EQ","28-Dec-2018","       1092.65","       1100.00","       1192.65","       1098.90","       1168.00","       1175.80","       1158.06","      44476","            51505808.70","       4322","      10521","         23.66"
"SYMPHONY","EQ","31-Dec-2018","       1175.80","       1174.95","       1188.80","       1158.10","       1164.00","       1166.65","       1173.18","      20658","            24235576.65","       2711","       4521","         21.88"
"SYMPHONY","EQ","01-Jan-2019","       1166.65","       1181.95","       1198.00","       1162.20","       1172.20","       1182.00","       1176.73","      10101","            11886139.40","       1471","       3349","         33.16"
"SYMPHONY","EQ","02-Jan-2019","       1182.00","       1182.20","       1182.20","       1140.25","       1147.00","       1154.35","       1165.15","       8476","             9875787.05","       1183","       3480","         41.06"
"SYMPHONY","EQ","03-Jan-2019","       1154.35","       1154.35","       1158.95","       1140.00","       1145.00","       1146.60","       1151.47","       4474","             5151677.30","       1275","       2391","         53.44"
"SYMPHONY","EQ","04-Jan-2019","       1146.60","       1153.00","       1178.95","       1120.10","       1149.00","       1153.50","       1151.61","      10714","            12338325.35","       2178","       2631","         24.56"
"SYMPHONY","EQ","07-Jan-2019","       1153.50","       1155.60","       1173.75","       1133.30","       1149.00","       1142.50","       1147.58","       7646","             8774370.15","       1107","       2252","         29.45"
"SYMPHONY","EQ","08-Jan-2019","       1142.50","       1150.00","       1155.00","       1122.55","       1131.00","       1134.35","       1138.85","       3760","             4282071.35","        731","       1820","         48.40"
"SYMPHONY","EQ","09-Jan-2019","       1134.35","       1134.00","       1140.00","       1121.50","       1123.15","       1128.65","       1129.63","       4206","             4751208.25","        857","       1586","         37.71"
"SYMPHONY","EQ","10-Jan-2019","       1128.65","       1148.00","       1148.00","       1125.00","       1130.00","       1133.55","       1134.53","       8939","            10141560.90","       1680","       3016","         33.74"
"SYMPHONY","EQ","11-Jan-2019","       1133.55","       1130.00","       1138.05","       1113.95","       1113.95","       1118.65","       1124.23","       3219","             3618891.35","        803","       1085","         33.71"
"SYMPHONY","EQ","14-Jan-2019","       1118.65","       1134.00","       1235.00","       1120.00","       1200.00","       1201.85","       1193.85","      82971","            99054807.55","       6608","      16925","         20.40"
"SYMPHONY","EQ","15-Jan-2019","       1201.85","       1203.00","       1250.85","       1158.00","       1160.00","       1164.50","       1205.85","      42692","            51480126.45","       4311","       7120","         16.68"
"SYMPHONY","EQ","16-Jan-2019","       1164.50","       1167.90","       1198.00","       1140.30","       1150.00","       1146.75","       1159.28","      14200","            16461758.00","       3123","       5764","         40.59"
"SYMPHONY","EQ","17-Jan-2019","       1146.75","       1167.95","       1167.95","       1140.60","       1153.00","       1151.55","       1156.17","       7228","             8356767.45","       1207","       2371","         32.80"
"SYMPHONY","EQ","18-Jan-2019","       1151.55","       1167.45","       1167.45","       1131.65","       1134.95","       1137.80","       1142.95","       5502","             6288485.35","       1272","       3300","         59.98"
"SYMPHONY","EQ","21-Jan-2019","       1137.80","       1137.80","       1147.90","       1125.15","       1134.00","       1134.45","       1135.91","       3123","             3547440.05","        539","       1612","         51.62"
"SYMPHONY","EQ","22-Jan-2019","       1134.45","       1127.00","       1168.70","       1127.00","       1159.50","       1156.00","       1150.74","      14224","            16368078.10","       2439","       8630","         60.67"
"SYMPHONY","EQ","23-Jan-2019","       1156.00","       1167.10","       1245.00","       1165.50","       1225.00","       1220.10","       1210.72","      95520","           115647597.75","       8932","      48678","         50.96"
"SYMPHONY","EQ","24-Jan-2019","       1220.10","       1234.90","       1264.75","       1215.60","       1230.00","       1230.45","       1243.46","      70470","            87626403.70","       9748","      26258","         37.26"
"SYMPHONY","EQ","25-Jan-2019","       1230.45","       1235.00","       1248.90","       1188.30","       1197.20","       1206.50","       1234.71","     139602","           172367308.25","       2355","     134300","         96.20"
"SYMPHONY","EQ","28-Jan-2019","       1206.50","       1210.00","       1210.00","       1150.00","       1155.85","       1153.30","       1168.08","       9463","            11053563.75","       1315","       3805","         40.21"
"SYMPHONY","EQ","29-Jan-2019","       1153.30","       1142.00","       1184.90","       1138.30","       1180.00","       1174.30","       1168.77","      79141","            92497866.10","       2453","      65162","         82.34"
"SYMPHONY","EQ","30-Jan-2019","       1174.30","       1175.00","       1190.00","       1117.30","       1128.00","       1148.10","       1172.96","      69704","            81759895.70","       2240","      52187","         74.87"
"SYMPHONY","EQ","31-Jan-2019","       1148.10","       1144.80","       1170.00","       1134.00","       1164.00","       1161.25","       1151.04","      51954","            59801247.70","       2347","      38686","         74.46"
"SYMPHONY","EQ","01-Feb-2019","       1161.25","       1173.95","       1217.00","       1165.00","       1212.00","       1205.00","       1196.82","      11216","            13423562.00","       2149","       7163","         63.86"
"SYMPHONY","EQ","04-Feb-2019","       1205.00","       1217.95","       1228.90","       1203.55","       1215.70","       1214.35","       1213.87","       7423","             9010588.70","       1462","       3763","         50.69"
"SYMPHONY","EQ","05-Feb-2019","       1214.35","       1214.00","       1248.00","       1130.10","       1225.00","       1221.10","       1185.60","      89215","           105773623.70","       8743","      24436","         27.39"
"SYMPHONY","EQ","06-Feb-2019","       1221.10","       1219.80","       1222.00","       1192.55","       1215.00","       1209.65","       1211.04","      11796","            14285391.55","       2124","       6134","         52.00"
"SYMPHONY","EQ","07-Feb-2019","       1209.65","       1202.25","       1229.65","       1185.00","       1197.35","       1199.75","       1212.15","       7432","             9008727.15","       1528","       3879","         52.19"
"SYMPHONY","EQ","08-Feb-2019","       1199.75","       1190.60","       1212.50","       1183.25","       1208.00","       1204.35","       1199.63","       6198","             7435313.05","       1312","       3138","         50.63"
"SYMPHONY","EQ","11-Feb-2019","       1204.35","       1198.10","       1198.10","       1178.00","       1185.00","       1184.80","       1188.36","       3998","             4751073.05","        672","       2560","         64.03"
"SYMPHONY","EQ","12-Feb-2019","       1184.80","       1184.80","       1195.80","       1155.70","       1178.00","       1177.55","       1177.30","       5576","             6564598.05","       1542","       3605","         64.65"
"SYMPHONY","EQ","13-Feb-2019","       1177.55","       1179.75","       1200.00","       1167.30","       1200.00","       1199.75","       1194.44","      16346","            19524309.05","       1464","      11338","         69.36"
"SYMPHONY","EQ","14-Feb-2019","       1199.75","       1175.00","       1206.25","       1175.00","       1200.00","       1199.95","       1196.22","      18534","            22170655.10","       1294","      14137","         76.28"
"SYMPHONY","EQ","15-Feb-2019","       1199.95","       1199.95","       1207.90","       1182.65","       1192.00","       1191.10","       1193.47","       5582","             6661945.45","        956","       2456","         44.00"
"SYMPHONY","EQ","18-Feb-2019","       1191.10","       1191.00","       1191.10","       1175.00","       1177.00","       1177.60","       1178.53","       2648","             3120751.75","        361","       1606","         60.65"
"SYMPHONY","EQ","19-Feb-2019","       1177.60","       1184.90","       1195.00","       1165.25","       1168.00","       1174.70","       1181.11","       2661","             3142940.65","        478","        914","         34.35"
"SYMPHONY","EQ","20-Feb-2019","       1174.70","       1167.30","       1178.50","       1156.50","       1176.00","       1173.30","       1168.20","       2986","             3488254.60","        707","       1506","         50.44"
"SYMPHONY","EQ","21-Feb-2019","       1173.30","       1173.30","       1184.95","       1150.10","       1159.85","       1155.10","       1161.14","       6812","             7909665.50","       2376","       4393","         64.49"
"SYMPHONY","EQ","22-Feb-2019","       1155.10","       1157.90","       1171.15","       1152.10","       1168.00","       1165.00","       1161.15","       5319","             6176140.70","        668","       2685","         50.48"
"SYMPHONY","EQ","25-Feb-2019","       1165.00","       1160.00","       1242.00","       1158.00","       1240.00","       1201.90","       1200.20","     157953","           189575183.35","       3533","      91127","         57.69"
"SYMPHONY","EQ","26-Feb-2019","       1201.90","       1205.65","       1284.75","       1195.85","       1271.00","       1269.75","       1252.21","      77630","            97208941.00","       8199","      35758","         46.06"
"SYMPHONY","EQ","27-Feb-2019","       1269.75","       1284.75","       1304.00","       1216.80","       1225.00","       1230.65","       1260.62","      30768","            38786906.55","       3127","       9870","         32.08"
"SYMPHONY","EQ","28-Feb-2019","       1230.65","       1233.95","       1305.00","       1233.95","       1292.00","       1293.55","       1289.30","      82574","           106462698.75","      15912","      31626","         38.30"
"SYMPHONY","EQ","01-Mar-2019","       1293.55","       1299.00","       1310.00","       1263.10","       1279.90","       1276.45","       1290.72","      22684","            29278712.35","       4776","       9209","         40.60"
"SYMPHONY","EQ","05-Mar-2019","       1276.45","       1311.00","       1385.40","       1310.95","       1330.00","       1337.45","       1356.94","     221558","           300640927.30","      17281","      65097","         29.38"
"SYMPHONY","EQ","06-Mar-2019","       1337.45","       1345.00","       1357.45","       1306.05","       1323.00","       1320.50","       1336.99","      47116","            62993556.70","       3838","      21035","         44.65"
"SYMPHONY","EQ","07-Mar-2019","       1320.50","       1322.00","       1343.95","       1310.00","       1316.90","       1313.40","       1328.64","      34980","            46475958.65","       4356","      16925","         48.38"
"SYMPHONY","EQ","08-Mar-2019","       1313.40","       1310.00","       1325.00","       1292.50","       1302.00","       1301.75","       1310.75","      16109","            21114856.95","       2015","       8551","         53.08"
"SYMPHONY","EQ","11-Mar-2019","       1301.75","       1306.00","       1375.00","       1306.00","       1375.00","       1354.55","       1337.47","      86189","           115275483.70","       5240","      32296","         37.47"
"SYMPHONY","EQ","12-Mar-2019","       1354.55","       1370.00","       1385.00","       1335.00","       1340.00","       1339.20","       1357.43","      36218","            49163413.75","       7358","      19810","         54.70"
"SYMPHONY","EQ","13-Mar-2019","       1339.20","       1359.00","       1360.00","       1330.00","       1339.00","       1334.00","       1339.66","      19939","            26711470.05","       4162","       7921","         39.73"
"SYMPHONY","EQ","14-Mar-2019","       1334.00","       1343.75","       1343.75","       1310.00","       1323.10","       1314.55","       1320.45","      16565","            21873190.25","       3573","       9141","         55.18"
"SYMPHONY","EQ","15-Mar-2019","       1314.55","       1324.00","       1326.00","       1288.00","       1300.00","       1293.35","       1307.57","      18308","            23938959.15","       2920","      11401","         62.27"
"SYMPHONY","EQ","18-Mar-2019","       1293.35","       1295.00","       1320.00","       1295.00","       1312.00","       1311.90","       1312.33","      13226","            17356812.45","       1590","       5530","         41.81"
"SYMPHONY","EQ","19-Mar-2019","       1311.90","       1318.00","       1318.00","       1287.00","       1296.00","       1291.25","       1298.16","      13979","            18147040.70","       2080","       8873","         63.47"
"SYMPHONY","EQ","20-Mar-2019","       1291.25","       1301.00","       1305.00","       1291.00","       1295.00","       1295.25","       1297.84","      10311","            13382075.70","       1304","       4810","         46.65"
"SYMPHONY","EQ","22-Mar-2019","       1295.25","       1297.50","       1319.00","       1295.00","       1319.00","       1314.50","       1309.25","      19038","            24925548.60","       2064","      10773","         56.59"
"SYMPHONY","EQ","25-Mar-2019","       1314.50","       1315.00","       1353.00","       1314.05","       1344.65","       1346.95","       1343.30","      73179","            98301041.20","      11521","      36067","         49.29"
"SYMPHONY","EQ","26-Mar-2019","       1346.95","       1349.90","       1370.00","       1336.15","       1342.00","       1346.15","       1357.67","      34127","            46333335.75","       6684","      15237","         44.65"
"SYMPHONY","EQ","27-Mar-2019","       1346.15","       1350.95","       1397.00","       1350.95","       1386.10","       1390.15","       1375.49","      49536","            68136300.10","       3093","      30568","         61.71"
"SYMPHONY","EQ","28-Mar-2019","       1390.15","       1393.00","       1419.75","       1381.95","       1400.00","       1396.85","       1399.74","      23353","            32688146.00","       2669","      11548","         49.45"
"SYMPHONY","EQ","29-Mar-2019","       1396.85","       1410.00","       1412.95","       1375.00","       1376.95","       1379.80","       1386.92","      18112","            25119887.55","       2997","      10328","         57.02"
"SYMPHONY","EQ","01-Apr-2019","       1379.80","       1396.00","       1414.80","       1351.05","       1370.00","       1370.30","       1386.83","      28385","            39365298.85","       2900","      11206","         39.48"
"SYMPHONY","EQ","02-Apr-2019","       1370.30","       1383.00","       1384.85","       1356.05","       1370.00","       1365.35","       1374.04","      11997","            16484325.70","       1617","       4309","         35.92"
"SYMPHONY","EQ","03-Apr-2019","       1365.35","       1371.00","       1377.95","       1350.00","       1361.90","       1358.45","       1363.12","      11688","            15932136.75","       1331","       5341","         45.70"
"SYMPHONY","EQ","04-Apr-2019","       1358.45","       1350.10","       1387.60","       1341.80","       1376.05","       1377.20","       1363.37","      17171","            23410345.25","       2626","       6667","         38.83"
"SYMPHONY","EQ","05-Apr-2019","       1377.20","       1375.00","       1385.00","       1356.05","       1375.05","       1368.95","       1370.28","       9791","            13416389.20","       1225","       4681","         47.81"
"SYMPHONY","EQ","08-Apr-2019","       1368.95","       1368.95","       1384.95","       1360.00","       1360.00","       1363.40","       1374.22","       6978","             9589338.40","       1738","       3302","         47.32"
"SYMPHONY","EQ","09-Apr-2019","       1363.40","       1366.95","       1374.00","       1347.05","       1358.00","       1359.45","       1359.83","       6908","             9393703.15","       1772","       2854","         41.31"
"SYMPHONY","EQ","10-Apr-2019","       1359.45","       1359.05","       1367.45","       1350.05","       1353.00","       1352.70","       1357.26","       3790","             5144028.25","        620","       1597","         42.14"
"SYMPHONY","EQ","11-Apr-2019","       1352.70","       1352.10","       1414.00","       1346.05","       1385.00","       1390.85","       1388.47","      26131","            36282218.15","       3412","       8723","         33.38"
"SYMPHONY","EQ","12-Apr-2019","       1390.85","       1398.00","       1404.90","       1390.00","       1402.00","       1399.60","       1396.87","      15679","            21901499.85","       1781","       8988","         57.33"
"SYMPHONY","EQ","15-Apr-2019","       1399.60","       1399.60","       1404.00","       1370.50","       1378.00","       1384.45","       1394.68","      10717","            14946783.90","       1848","       5641","         52.64"
"SYMPHONY","EQ","16-Apr-2019","       1384.45","       1380.00","       1397.15","       1361.30","       1391.20","       1389.00","       1384.64","      13496","            18687139.85","       2709","       7151","         52.99"
"SYMPHONY","EQ","18-Apr-2019","       1389.00","       1375.00","       1388.20","       1363.20","       1379.00","       1381.30","       1379.26","      13698","            18893130.30","       1731","       3423","         24.99"
"SYMPHONY","EQ","22-Apr-2019","       1381.30","       1377.75","       1377.75","       1352.00","       1356.15","       1358.40","       1368.62","       3443","             4712146.90","        725","       2104","         61.11"
"SYMPHONY","EQ","23-Apr-2019","       1358.40","       1361.55","       1424.85","       1351.30","       1373.50","       1410.30","       1407.00","     113370","           159511648.30","       5012","      57969","         51.13"
"SYMPHONY","EQ","24-Apr-2019","       1410.30","       1384.05","       1449.00","       1368.80","       1449.00","       1432.15","       1414.24","      52722","            74561649.75","       3749","      22345","         42.38"
"SYMPHONY","EQ","25-Apr-2019","       1432.15","       1450.00","       1450.00","       1391.60","       1397.00","       1410.60","       1419.41","      20779","            29494019.85","       2564","       7299","         35.13"
"SYMPHONY","EQ","26-Apr-2019","       1410.60","       1409.95","       1427.10","       1380.00","       1382.80","       1383.75","       1391.12","      14163","            19702456.75","       1768","       7868","         55.55"
"SYMPHONY","EQ","30-Apr-2019","       1383.75","       1375.05","       1393.40","       1360.00","       1361.00","       1367.90","       1372.87","       6421","             8815185.25","       1342","       3002","         46.75"
"SYMPHONY","EQ","02-May-2019","       1367.90","       1367.90","       1388.00","       1355.00","       1362.50","       1360.20","       1367.60","       8230","            11255309.45","       1157","       4034","         49.02"
"SYMPHONY","EQ","03-May-2019","       1360.20","       1363.75","       1393.95","       1354.55","       1379.05","       1381.55","       1375.36","      19667","            27049191.45","       2895","       5580","         28.37"
"SYMPHONY","EQ","06-May-2019","       1381.55","       1382.00","       1382.00","       1355.00","       1355.00","       1362.10","       1364.81","       6218","             8486386.45","        783","       3764","         60.53"
"SYMPHONY","EQ","07-May-2019","       1362.10","       1361.00","       1382.00","       1351.00","       1380.00","       1378.70","       1371.35","      11388","            15616908.70","       2041","       7326","         64.33"
"SYMPHONY","EQ","08-May-2019","       1378.70","       1378.75","       1378.75","       1340.10","       1345.00","       1349.95","       1358.16","       4594","             6239375.35","        828","       2685","         58.45"
