"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ABFRLPP","E1","03-Aug-2020","         69.70","         72.00","         72.00","         62.10","         62.15","         63.05","         65.34","     186412","            12179356.00","        609","     156612","         84.01"
"ABFRLPP","E1","04-Aug-2020","         63.05","         64.25","         64.25","         62.30","         63.60","         63.35","         63.16","     140715","             8887074.95","       1618","     127794","         90.82"
"ABFRLPP","E1","05-Aug-2020","         63.35","         63.70","         69.40","         63.70","         67.00","         66.85","         67.03","     177594","            11903979.40","        846","     133213","         75.01"
"ABFRLPP","E1","06-Aug-2020","         66.85","         67.90","         67.90","         65.30","         66.00","         66.15","         66.48","      38877","             2584435.25","        250","      28479","         73.25"
"ABFRLPP","E1","07-Aug-2020","         66.15","         66.05","         67.40","         65.20","         66.65","         65.85","         66.68","      69058","             4604542.25","        308","      53320","         77.21"
"ABFRLPP","E1","10-Aug-2020","         65.85","         65.85","         66.90","         64.10","         65.15","         64.75","         65.36","      77922","             5093306.00","        351","      60431","         77.55"
"ABFRLPP","E1","11-Aug-2020","         64.75","         65.15","         65.90","         62.95","         64.05","         63.95","         64.22","      25957","             1666958.45","        200","      20098","         77.43"
"ABFRLPP","E1","12-Aug-2020","         63.95","         63.00","         65.85","         63.00","         64.15","         64.50","         64.31","      74676","             4802436.80","        264","      65383","         87.56"
"ABFRLPP","E1","13-Aug-2020","         64.50","         64.95","         72.50","         64.95","         71.30","         71.00","         69.70","     345388","            24072852.20","       1801","     225622","         65.32"
"ABFRLPP","E1","14-Aug-2020","         71.00","         71.00","         73.90","         68.15","         70.50","         70.15","         71.54","     438014","            31336894.60","       1167","     316044","         72.15"
"ABFRLPP","E1","17-Aug-2020","         70.15","         70.70","         74.80","         70.60","         74.00","         74.05","         73.50","      92368","             6788982.55","        690","      60916","         65.95"
"ABFRLPP","E1","18-Aug-2020","         74.05","         74.90","         77.90","         73.85","         77.25","         77.55","         76.29","     164702","            12565239.60","       1725","     100568","         61.06"
"ABFRLPP","E1","19-Aug-2020","         77.55","         78.40","         82.50","         62.05","         81.90","         81.75","         79.19","     187985","            14885942.40","       1962","     107765","         57.33"
"ABFRLPP","E1","20-Aug-2020","         81.75","         81.75","         87.80","         78.50","         85.60","         86.30","         84.81","     147761","            12531123.20","       1686","      95656","         64.74"
"ABFRLPP","E1","21-Aug-2020","         86.30","         86.30","         98.90","         85.80","         89.85","         89.65","         92.20","     286642","            26429555.10","       2471","     134914","         47.07"
"ABFRLPP","E1","24-Aug-2020","         89.65","         94.00","         96.00","         88.75","         91.60","         92.00","         91.56","     103214","             9449983.95","        787","      56920","         55.15"
"ABFRLPP","E1","25-Aug-2020","         92.00","         90.25","         94.55","         89.25","         91.50","         91.30","         92.35","     262682","            24259163.95","       2882","     189728","         72.23"
"ABFRLPP","E1","26-Aug-2020","         91.30","         90.55","         92.00","         87.90","         88.50","         88.10","         89.48","     111566","             9983276.10","        842","      91253","         81.79"
"ABFRLPP","E1","27-Aug-2020","         88.10","         89.75","         90.05","         85.40","         86.60","         86.60","         87.45","     101547","             8879794.10","       1092","      55076","         54.24"
"ABFRLPP","E1","28-Aug-2020","         86.60","         83.15","         88.35","         83.00","         85.00","         83.90","         85.16","      98090","             8353825.25","        806","      53846","         54.89"
