"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"GPIL","EQ","11-Sep-2018","        570.65","        580.00","        585.00","        554.30","        559.00","        558.35","        570.70","     218816","           124879035.05","       4205","     109550","         50.06"
"GPIL","EQ","12-Sep-2018","        558.35","        559.65","        559.65","        522.55","        533.80","        536.20","        537.01","     260540","           139912714.45","       5570","     134032","         51.44"
"GPIL","EQ","14-Sep-2018","        536.20","        540.00","        547.70","        532.40","        535.00","        537.00","        539.89","     150189","            81085994.10","       3632","      51957","         34.59"
"GPIL","EQ","17-Sep-2018","        537.00","        528.40","        546.00","        526.95","        532.00","        533.75","        534.24","     139580","            74569679.00","       4559","      46076","         33.01"
"GPIL","EQ","18-Sep-2018","        533.75","        534.00","        555.45","        522.55","        527.80","        525.55","        538.99","     146432","            78925488.50","       3543","      48201","         32.92"
"GPIL","EQ","19-Sep-2018","        525.55","        529.20","        534.00","        502.25","        508.30","        508.30","        516.29","     154479","            79755877.85","       3697","      57141","         36.99"
"GPIL","EQ","21-Sep-2018","        508.30","        512.85","        522.85","        421.25","        487.20","        491.05","        486.57","     300648","           146287704.95","       9293","     119923","         39.89"
"GPIL","EQ","24-Sep-2018","        491.05","        495.00","        497.65","        450.00","        450.00","        452.70","        466.89","     142603","            66580592.15","       4447","      64285","         45.08"
"GPIL","EQ","25-Sep-2018","        452.70","        450.00","        459.45","        412.00","        427.40","        421.65","        431.34","     247014","           106547978.90","       6885","      79889","         32.34"
"GPIL","EQ","26-Sep-2018","        421.65","        435.00","        458.80","        430.05","        455.90","        452.20","        444.31","     160352","            71246184.35","       5035","      73554","         45.87"
"GPIL","EQ","27-Sep-2018","        452.20","        448.00","        464.00","        440.55","        449.10","        450.55","        454.24","      93203","            42336522.20","       3379","      34550","         37.07"
"GPIL","EQ","28-Sep-2018","        450.55","        459.00","        461.90","        396.55","        430.00","        422.00","        427.16","     266482","           113829145.05","       6282","     135976","         51.03"
"GPIL","EQ","01-Oct-2018","        422.00","        403.35","        421.65","        371.40","        405.15","        408.55","        399.72","     114096","            45606392.70","       3387","      47584","         41.71"
"GPIL","EQ","03-Oct-2018","        408.55","        410.00","        444.70","        400.55","        412.25","        416.80","        422.35","     138446","            58472311.75","       4599","      48402","         34.96"
"GPIL","EQ","04-Oct-2018","        416.80","        404.30","        413.95","        398.00","        403.75","        403.35","        405.85","      93241","            37841563.80","       3409","      30751","         32.98"
"GPIL","EQ","05-Oct-2018","        403.35","        399.30","        415.55","        385.00","        386.00","        389.90","        397.59","      66280","            26352033.70","       1955","      28757","         43.39"
"GPIL","EQ","08-Oct-2018","        389.90","        384.00","        407.00","        370.00","        383.00","        383.55","        386.43","     101066","            39054613.20","       2793","      40968","         40.54"
"GPIL","EQ","09-Oct-2018","        383.55","        386.60","        397.00","        381.20","        385.00","        385.00","        388.20","      51484","            19986294.10","       1614","      24900","         48.36"
"GPIL","EQ","10-Oct-2018","        385.00","        388.25","        421.40","        388.25","        417.95","        413.45","        409.09","     123005","            50319870.95","       4100","      44956","         36.55"
"GPIL","EQ","11-Oct-2018","        413.45","        397.90","        423.00","        381.25","        423.00","        417.10","        407.89","     125993","            51391003.85","       3825","      46144","         36.62"
"GPIL","EQ","12-Oct-2018","        417.10","        433.90","        447.50","        425.00","        431.00","        427.35","        435.75","      90331","            39361312.35","       2503","      43252","         47.88"
"GPIL","EQ","15-Oct-2018","        427.35","        424.00","        444.90","        419.45","        429.75","        432.30","        432.62","     130618","            56507326.25","       5112","      69541","         53.24"
