"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARKSANS","EQ","11-Sep-2018","         38.30","         38.60","         39.20","         36.00","         36.40","         36.30","         37.76","    2465764","            93118925.80","       7707","     830213","         33.67"
"MARKSANS","EQ","12-Sep-2018","         36.30","         36.30","         36.70","         35.00","         36.20","         36.20","         35.82","    3044138","           109053013.15","       9501","     620517","         20.38"
"MARKSANS","EQ","14-Sep-2018","         36.20","         36.55","         38.60","         36.40","         38.20","         38.25","         37.51","    3657173","           137176540.85","      12027","     999147","         27.32"
"MARKSANS","EQ","17-Sep-2018","         38.25","         38.10","         38.30","         37.10","         37.25","         37.40","         37.67","    2165269","            81571875.45","       6566","     577999","         26.69"
"MARKSANS","EQ","18-Sep-2018","         37.40","         37.40","         37.75","         35.90","         36.10","         36.10","         36.91","    2456568","            90674963.45","       8738","     565810","         23.03"
"MARKSANS","EQ","19-Sep-2018","         36.10","         36.40","         36.75","         34.25","         35.20","         35.15","         35.50","    2312627","            82105379.15","       7677","     634366","         27.43"
"MARKSANS","EQ","21-Sep-2018","         35.15","         36.00","         36.80","         31.00","         33.00","         33.05","         33.63","    7120463","           239437879.85","      24316","    3809397","         53.50"
"MARKSANS","EQ","24-Sep-2018","         33.05","         33.60","         33.90","         32.25","         32.95","         32.85","         32.95","    2828597","            93196034.35","      10881","     870855","         30.79"
"MARKSANS","EQ","25-Sep-2018","         32.85","         32.80","         33.35","         31.05","         31.95","         32.05","         32.23","    2997094","            96587885.65","      10645","     714088","         23.83"
"MARKSANS","EQ","26-Sep-2018","         32.05","         33.35","         34.00","         31.65","         31.80","         31.85","         32.58","    5104575","           166288718.20","      15627","    1609421","         31.53"
"MARKSANS","EQ","27-Sep-2018","         31.85","         31.95","         32.20","         30.80","         31.00","         31.05","         31.30","    2110887","            66069689.05","       6772","     642458","         30.44"
"MARKSANS","EQ","28-Sep-2018","         31.05","         31.30","         31.45","         29.05","         29.50","         29.40","         29.88","    2833273","            84652644.50","       8962","     945712","         33.38"
"MARKSANS","EQ","01-Oct-2018","         29.40","         29.50","         29.50","         26.00","         29.20","         29.30","         28.25","    2638305","            74530498.70","       8824","     835994","         31.69"
"MARKSANS","EQ","03-Oct-2018","         29.30","         29.30","         31.90","         28.60","         31.50","         31.35","         31.06","    3763541","           116878980.30","      12052","    1276682","         33.92"
"MARKSANS","EQ","04-Oct-2018","         31.35","         31.25","         31.75","         30.20","         31.10","         31.05","         31.13","    2746273","            85488287.85","      10403","     724141","         26.37"
"MARKSANS","EQ","05-Oct-2018","         31.05","         30.75","         31.55","         30.10","         30.20","         30.35","         30.72","    1724108","            52969969.75","       5340","     453694","         26.31"
"MARKSANS","EQ","08-Oct-2018","         30.35","         29.90","         30.90","         28.80","         29.50","         29.45","         29.91","    2593441","            77559512.85","      10355","     686294","         26.46"
"MARKSANS","EQ","09-Oct-2018","         29.45","         29.70","         30.30","         29.15","         29.50","         29.55","         29.63","    2346357","            69520822.40","       9024","     887110","         37.81"
"MARKSANS","EQ","10-Oct-2018","         29.55","         29.75","         30.45","         29.55","         30.00","         30.10","         29.97","    1845317","            55313329.10","       5191","     818400","         44.35"
"MARKSANS","EQ","11-Oct-2018","         30.10","         29.15","         29.45","         28.00","         29.05","         28.95","         29.02","    1545581","            44855955.65","       5840","     512002","         33.13"
"MARKSANS","EQ","12-Oct-2018","         28.95","         29.40","         30.10","         29.40","         29.70","         29.80","         29.84","    1574570","            46991826.25","       4008","     756333","         48.03"
"MARKSANS","EQ","15-Oct-2018","         29.80","         30.00","         30.90","         29.65","         30.85","         30.75","         30.54","    1808047","            55218812.80","       6048","     528571","         29.23"
"MARKSANS","EQ","16-Oct-2018","         30.75","         31.50","         32.20","         30.80","         31.05","         31.20","         31.41","    2313139","            72648222.60","       8222","    1063420","         45.97"
"MARKSANS","EQ","17-Oct-2018","         31.20","         31.60","         31.90","         29.60","         30.25","         30.30","         30.66","    1376595","            42213086.80","       5093","     495597","         36.00"
"MARKSANS","EQ","19-Oct-2018","         30.30","         30.25","         30.35","         28.40","         29.45","         29.45","         29.42","    2530635","            74460874.05","       8369","     659836","         26.07"
"MARKSANS","EQ","22-Oct-2018","         29.45","         29.95","         29.95","         28.50","         28.80","         28.85","         29.01","    1842676","            53458797.40","       6565","     542893","         29.46"
"MARKSANS","EQ","23-Oct-2018","         28.85","         28.55","         28.80","         27.75","         27.90","         27.95","         28.21","    1331188","            37553675.70","       5052","     450122","         33.81"
"MARKSANS","EQ","24-Oct-2018","         27.95","         27.80","         28.45","         27.55","         27.85","         27.85","         28.01","    1273389","            35668974.50","       3831","     345342","         27.12"
"MARKSANS","EQ","25-Oct-2018","         27.85","         27.75","         27.75","         26.80","         27.15","         27.15","         27.19","    1037211","            28203806.50","       3773","     425276","         41.00"
"MARKSANS","EQ","26-Oct-2018","         27.15","         27.15","         27.70","         26.65","         26.85","         27.00","         27.12","    1076862","            29200614.65","       4440","     344138","         31.96"
"MARKSANS","EQ","29-Oct-2018","         27.00","         27.15","         29.00","         27.00","         28.70","         28.70","         28.17","    2045533","            57619710.30","       6196","     710676","         34.74"
"MARKSANS","EQ","30-Oct-2018","         28.70","         28.80","         29.20","         28.25","         28.55","         28.65","         28.76","    1129121","            32468173.85","       4371","     343070","         30.38"
"MARKSANS","EQ","31-Oct-2018","         28.65","         28.75","         29.20","         28.65","         28.90","         28.90","         28.91","     963683","            27863131.80","       4089","     318019","         33.00"
"MARKSANS","EQ","01-Nov-2018","         28.90","         29.05","         29.65","         29.00","         29.15","         29.30","         29.31","    1041762","            30536041.25","       6948","     451909","         43.38"
"MARKSANS","EQ","02-Nov-2018","         29.30","         29.70","         30.60","         29.40","         30.10","         30.10","         30.05","    1921391","            57738201.40","       5715","     743644","         38.70"
"MARKSANS","EQ","05-Nov-2018","         30.10","         30.00","         30.15","         29.55","         29.95","         29.80","         29.76","     657845","            19579010.10","       2311","     245504","         37.32"
"MARKSANS","EQ","06-Nov-2018","         29.80","         30.10","         31.90","         30.00","         31.70","         31.20","         30.83","    1716779","            52933214.50","       4353","     804478","         46.86"
"MARKSANS","EQ","07-Nov-2018","         31.20","         32.00","         33.35","         31.50","         33.15","         32.90","         32.58","    1560446","            50845834.85","       4992","     990987","         63.51"
"MARKSANS","EQ","09-Nov-2018","         32.90","         33.10","         34.75","         33.10","         34.60","         34.55","         34.06","    3369246","           114751197.05","      10462","    1449929","         43.03"
"MARKSANS","EQ","12-Nov-2018","         34.55","         34.50","         35.10","         32.65","         33.05","         33.10","         33.48","    2982565","            99869382.35","      12797","    1190912","         39.93"
"MARKSANS","EQ","13-Nov-2018","         33.10","         32.80","         33.50","         31.20","         31.70","         31.85","         32.34","    6668549","           215629057.85","      20817","    1771080","         26.56"
"MARKSANS","EQ","14-Nov-2018","         31.85","         32.15","         32.50","         31.00","         31.55","         31.60","         31.83","    1603063","            51027676.95","       5254","     542936","         33.87"
"MARKSANS","EQ","15-Nov-2018","         31.60","         31.60","         31.60","         30.05","         30.15","         30.30","         30.56","    1254416","            38334723.65","       4672","     524604","         41.82"
"MARKSANS","EQ","16-Nov-2018","         30.30","         30.70","         31.15","         29.75","         30.05","         30.10","         30.43","    1608878","            48952396.75","       5276","     530999","         33.00"
"MARKSANS","EQ","19-Nov-2018","         30.10","         30.40","         30.55","         30.05","         30.20","         30.30","         30.28","     985686","            29842804.90","       3392","     365061","         37.04"
"MARKSANS","EQ","20-Nov-2018","         30.30","         29.95","         30.00","         28.75","         29.05","         29.05","         29.31","    1525674","            44718487.10","       5245","     791191","         51.86"
"MARKSANS","EQ","21-Nov-2018","         29.05","         29.00","         29.70","         28.85","         29.35","         29.35","         29.35","    1304761","            38297302.60","       4343","     385699","         29.56"
"MARKSANS","EQ","22-Nov-2018","         29.35","         29.50","         30.15","         29.15","         30.10","         30.05","         29.88","    1293395","            38647925.45","       3945","     595721","         46.06"
"MARKSANS","EQ","26-Nov-2018","         30.05","         30.25","         30.80","         29.55","         30.10","         30.20","         30.17","    1038922","            31348554.80","       3963","     455274","         43.82"
"MARKSANS","EQ","27-Nov-2018","         30.20","         30.95","         31.30","         30.15","         30.35","         30.40","         30.76","    1871264","            57558889.25","       6279","     477718","         25.53"
"MARKSANS","EQ","28-Nov-2018","         30.40","         30.55","         30.55","         29.40","         29.45","         29.55","         29.80","     711441","            21202440.60","       2764","     278694","         39.17"
"MARKSANS","EQ","29-Nov-2018","         29.55","         29.65","         29.80","         29.20","         29.45","         29.45","         29.48","     838662","            24724321.20","       3205","     291771","         34.79"
"MARKSANS","EQ","30-Nov-2018","         29.45","         29.70","         29.95","         28.90","         29.20","         29.35","         29.35","    1038022","            30465881.40","       4823","     393082","         37.87"
"MARKSANS","EQ","03-Dec-2018","         29.35","         29.60","         29.65","         28.75","         28.95","         28.90","         28.98","     917988","            26600367.95","       3315","     466603","         50.83"
"MARKSANS","EQ","04-Dec-2018","         28.90","         28.95","         29.60","         28.70","         28.80","         28.85","         29.08","    1481856","            43099603.70","       7239","     536236","         36.19"
"MARKSANS","EQ","05-Dec-2018","         28.85","         28.70","         28.90","         27.95","         28.00","         28.05","         28.34","     904743","            25642604.55","       4018","     441581","         48.81"
"MARKSANS","EQ","06-Dec-2018","         28.05","         27.60","         27.90","         27.10","         27.30","         27.25","         27.36","     899049","            24594973.95","       4129","     420893","         46.82"
"MARKSANS","EQ","07-Dec-2018","         27.25","         27.50","         27.65","         26.95","         27.30","         27.20","         27.27","     953365","            25998802.45","       4127","     328931","         34.50"
"MARKSANS","EQ","10-Dec-2018","         27.20","         26.75","         26.80","         26.20","         26.45","         26.30","         26.46","    1228117","            32499253.35","       5334","     484528","         39.45"
"MARKSANS","EQ","11-Dec-2018","         26.30","         26.05","         27.75","         26.05","         27.60","         27.30","         26.80","    1887391","            50582330.30","       9206","     445016","         23.58"
"MARKSANS","EQ","12-Dec-2018","         27.30","         27.45","         28.50","         27.40","         28.45","         28.40","         28.17","    1395003","            39290441.50","       5652","     465519","         33.37"
"MARKSANS","EQ","13-Dec-2018","         28.40","         28.70","         28.75","         28.00","         28.15","         28.20","         28.37","    1104060","            31320005.90","       4419","     419592","         38.00"
"MARKSANS","EQ","14-Dec-2018","         28.20","         28.15","         28.15","         27.55","         27.75","         27.75","         27.78","     955799","            26555120.85","       3443","     339500","         35.52"
"MARKSANS","EQ","17-Dec-2018","         27.75","         27.80","         28.45","         27.60","         27.80","         27.90","         28.04","     741607","            20793029.85","       3885","     288201","         38.86"
"MARKSANS","EQ","18-Dec-2018","         27.90","         27.65","         28.65","         27.60","         28.45","         28.40","         28.33","    1459872","            41359917.70","       7256","     440471","         30.17"
"MARKSANS","EQ","19-Dec-2018","         28.40","         28.65","         29.15","         28.40","         28.60","         28.65","         28.70","    1556000","            44651214.85","       7240","     447661","         28.77"
"MARKSANS","EQ","20-Dec-2018","         28.65","         28.60","         29.10","         28.20","         28.55","         28.60","         28.56","    1536066","            43863305.15","       5988","     482914","         31.44"
"MARKSANS","EQ","21-Dec-2018","         28.60","         28.60","         29.65","         27.80","         28.10","         28.10","         28.55","    2976796","            84976066.90","       9140","     609607","         20.48"
"MARKSANS","EQ","24-Dec-2018","         28.10","         28.20","         28.40","         27.80","         27.85","         27.90","         27.99","    1118596","            31312156.75","       3321","     404370","         36.15"
"MARKSANS","EQ","26-Dec-2018","         27.90","         27.70","         27.85","         27.15","         27.45","         27.50","         27.54","    1112111","            30630868.50","       4475","     328478","         29.54"
"MARKSANS","EQ","27-Dec-2018","         27.50","         27.95","         28.20","         27.55","         27.70","         27.60","         27.84","     862366","            24008891.00","       3683","     332048","         38.50"
"MARKSANS","EQ","28-Dec-2018","         27.60","         28.00","         28.05","         27.65","         27.80","         27.80","         27.86","    1008710","            28098321.70","       2655","     398666","         39.52"
"MARKSANS","EQ","31-Dec-2018","         27.80","         28.05","         28.15","         27.75","         27.80","         27.85","         27.90","     757163","            21127522.50","       2795","     322710","         42.62"
"MARKSANS","EQ","01-Jan-2019","         27.85","         27.95","         28.50","         27.75","         28.15","         28.20","         28.15","     812491","            22867604.20","       2462","     263165","         32.39"
"MARKSANS","EQ","02-Jan-2019","         28.20","         28.00","         28.45","         27.75","         28.00","         27.95","         28.08","     736321","            20674054.55","       1870","     286761","         38.95"
"MARKSANS","EQ","03-Jan-2019","         27.95","         27.90","         28.00","         27.70","         27.75","         27.80","         27.82","     586248","            16312064.65","       1401","     211245","         36.03"
"MARKSANS","EQ","04-Jan-2019","         27.80","         27.75","         27.90","         27.60","         27.80","         27.75","         27.74","     412594","            11446903.20","       1291","     241532","         58.54"
"MARKSANS","EQ","07-Jan-2019","         27.75","         27.90","         28.05","         27.30","         27.45","         27.65","         27.82","     562088","            15635320.25","       1165","     309091","         54.99"
"MARKSANS","EQ","08-Jan-2019","         27.65","         27.60","         28.10","         27.45","         27.70","         27.75","         27.79","     895644","            24889682.30","       2113","     277615","         31.00"
"MARKSANS","EQ","09-Jan-2019","         27.75","         27.75","         27.95","         27.50","         27.60","         27.65","         27.68","     629254","            17417563.85","       1698","     238259","         37.86"
"MARKSANS","EQ","10-Jan-2019","         27.65","         27.65","         28.60","         27.50","         28.25","         28.10","         28.07","    1427568","            40071007.40","       4228","     488845","         34.24"
"MARKSANS","EQ","11-Jan-2019","         28.10","         28.35","         28.50","         27.70","         27.85","         27.80","         28.00","     569845","            15956407.50","       2070","     206555","         36.25"
"MARKSANS","EQ","14-Jan-2019","         27.80","         27.80","         28.00","         27.50","         27.75","         27.80","         27.74","     962904","            26709669.45","       1681","     272453","         28.29"
"MARKSANS","EQ","15-Jan-2019","         27.80","         27.80","         28.00","         27.65","         27.85","         27.80","         27.82","     753964","            20974607.70","       1498","     278175","         36.89"
"MARKSANS","EQ","16-Jan-2019","         27.80","         27.95","         28.40","         27.80","         27.95","         27.95","         28.07","     642474","            18035055.10","       1802","     241017","         37.51"
"MARKSANS","EQ","17-Jan-2019","         27.95","         27.95","         28.65","         27.85","         27.90","         27.95","         28.19","    1135445","            32012517.40","       2867","     323900","         28.53"
"MARKSANS","EQ","18-Jan-2019","         27.95","         28.00","         28.05","         27.35","         27.50","         27.45","         27.63","     619880","            17125061.70","       1636","     272872","         44.02"
"MARKSANS","EQ","21-Jan-2019","         27.45","         27.70","         27.85","         26.95","         27.05","         27.20","         27.43","     659011","            18073874.00","       2084","     333975","         50.68"
"MARKSANS","EQ","22-Jan-2019","         27.20","         27.15","         27.25","         26.40","         26.90","         26.80","         26.79","     866911","            23227722.65","       2913","     247650","         28.57"
"MARKSANS","EQ","23-Jan-2019","         26.80","         26.85","         27.60","         26.50","         27.05","         27.05","         27.07","     789931","            21386329.75","       3195","     261839","         33.15"
"MARKSANS","EQ","24-Jan-2019","         27.05","         27.05","         27.25","         26.90","         27.00","         27.10","         27.05","     548550","            14839017.15","       1181","     282676","         51.53"
"MARKSANS","EQ","25-Jan-2019","         27.10","         27.10","         27.40","         26.45","         26.65","         26.55","         26.87","     588764","            15820192.45","       2402","     267004","         45.35"
"MARKSANS","EQ","28-Jan-2019","         26.55","         26.60","         26.80","         25.50","         25.90","         25.95","         25.98","     987806","            25664884.60","       2075","     494278","         50.04"
"MARKSANS","EQ","29-Jan-2019","         25.95","         25.95","         25.95","         25.20","         25.85","         25.50","         25.54","     876856","            22395485.35","       1993","     368660","         42.04"
"MARKSANS","EQ","30-Jan-2019","         25.50","         25.60","         25.85","         24.70","         25.20","         25.25","         25.28","     919559","            23246127.25","       3241","     322835","         35.11"
"MARKSANS","EQ","31-Jan-2019","         25.25","         25.30","         25.75","         25.25","         25.55","         25.55","         25.48","     600104","            15290016.25","       1648","     240410","         40.06"
"MARKSANS","EQ","01-Feb-2019","         25.55","         25.60","         25.75","         25.05","         25.20","         25.30","         25.44","     475805","            12105321.10","       1374","     190924","         40.13"
"MARKSANS","EQ","04-Feb-2019","         25.30","         25.20","         25.30","         24.65","         24.95","         24.90","         24.96","     818393","            20427185.10","       3436","     344197","         42.06"
"MARKSANS","EQ","05-Feb-2019","         24.90","         24.95","         26.00","         24.20","         24.30","         24.35","         24.59","    1241402","            30526519.70","       3548","     436122","         35.13"
"MARKSANS","EQ","06-Feb-2019","         24.35","         24.50","         24.50","         22.60","         23.65","         23.45","         23.39","    1342365","            31404340.75","       5251","     626262","         46.65"
"MARKSANS","EQ","07-Feb-2019","         23.45","         23.20","         25.60","         23.00","         25.35","         25.35","         24.84","    1719267","            42700634.20","       5309","     696095","         40.49"
"MARKSANS","EQ","08-Feb-2019","         25.35","         25.40","         27.30","         24.60","         25.70","         25.85","         26.13","    3824427","            99919283.15","      12072","     799942","         20.92"
"MARKSANS","EQ","11-Feb-2019","         25.85","         26.10","         26.10","         24.70","         24.95","         24.85","         25.32","     936031","            23701137.75","       2508","     478544","         51.12"
"MARKSANS","EQ","12-Feb-2019","         24.85","         24.50","         25.15","         24.20","         24.25","         24.35","         24.49","    1234257","            30227352.60","       3162","     704762","         57.10"
"MARKSANS","EQ","13-Feb-2019","         24.35","         24.60","         24.65","         23.65","         23.95","         23.90","         24.21","     516176","            12499000.95","       2140","     226074","         43.80"
"MARKSANS","EQ","14-Feb-2019","         23.90","         23.90","         24.60","         23.60","         24.35","         24.15","         23.98","     643638","            15436836.30","       2463","     284239","         44.16"
"MARKSANS","EQ","15-Feb-2019","         24.15","         24.30","         24.30","         23.50","         23.55","         23.70","         23.77","     509594","            12112974.10","       2092","     236889","         46.49"
"MARKSANS","EQ","18-Feb-2019","         23.70","         23.70","         23.90","         21.95","         22.40","         22.35","         22.78","    1272915","            28994105.00","       4044","     759356","         59.65"
"MARKSANS","EQ","19-Feb-2019","         22.35","         22.30","         23.10","         22.00","         22.15","         22.15","         22.50","     714504","            16076834.90","       3334","     361150","         50.55"
"MARKSANS","EQ","20-Feb-2019","         22.15","         22.40","         22.85","         22.20","         22.35","         22.45","         22.47","     813508","            18280677.75","       3418","     380455","         46.77"
"MARKSANS","EQ","21-Feb-2019","         22.45","         22.60","         23.50","         22.15","         23.15","         23.20","         23.03","    1361626","            31355492.50","       3967","     640933","         47.07"
"MARKSANS","EQ","22-Feb-2019","         23.20","         23.25","         24.85","         23.05","         24.40","         24.40","         24.08","    1648355","            39700433.35","       7103","     661179","         40.11"
"MARKSANS","EQ","25-Feb-2019","         24.40","         24.35","         24.45","         23.80","         23.95","         23.95","         24.01","     916988","            22014696.05","       2198","     625636","         68.23"
"MARKSANS","EQ","26-Feb-2019","         23.95","         23.50","         23.70","         22.65","         22.95","         22.95","         22.99","    1329870","            30578007.80","       3605","     565521","         42.52"
"MARKSANS","EQ","27-Feb-2019","         22.95","         23.05","         23.80","         22.65","         22.85","         22.90","         23.25","    1405140","            32673315.90","       4061","     602463","         42.88"
"MARKSANS","EQ","28-Feb-2019","         22.90","         23.10","         23.70","         23.00","         23.15","         23.05","         23.17","     626458","            14513122.75","       2216","     309707","         49.44"
"MARKSANS","EQ","01-Mar-2019","         23.05","         23.30","         26.45","         23.25","         26.00","         25.95","         25.10","    3448668","            86553363.15","       8240","    1677206","         48.63"
"MARKSANS","EQ","05-Mar-2019","         25.95","         25.90","         27.75","         25.80","         27.30","         27.45","         26.95","    1946276","            52455037.45","       9435","     923389","         47.44"
"MARKSANS","EQ","06-Mar-2019","         27.45","         27.40","         28.10","         26.50","         26.80","         26.90","         27.05","    1556190","            42094692.95","       5120","     638911","         41.06"
"MARKSANS","EQ","07-Mar-2019","         26.90","         27.00","         27.50","         25.65","         26.20","         26.20","         26.54","    2452125","            65078500.60","       7783","     637113","         25.98"
"MARKSANS","EQ","08-Mar-2019","         26.20","         26.05","         27.25","         25.65","         26.05","         26.20","         26.43","    1321749","            34939281.45","       3997","     455016","         34.43"
"MARKSANS","EQ","11-Mar-2019","         26.20","         26.35","         27.10","         26.25","         27.05","         26.95","         26.81","     895499","            24008518.45","       2659","     413608","         46.19"
"MARKSANS","EQ","12-Mar-2019","         26.95","         27.50","         27.90","         26.80","         26.95","         27.05","         27.30","    1263228","            34483650.45","       3865","     488760","         38.69"
"MARKSANS","EQ","13-Mar-2019","         27.05","         27.40","         27.40","         26.40","         26.40","         26.55","         26.79","     710981","            19049268.80","       2031","     377573","         53.11"
"MARKSANS","EQ","14-Mar-2019","         26.55","         26.65","         26.70","         25.45","         25.60","         25.70","         26.02","    1007773","            26217915.55","       4234","     588632","         58.41"
"MARKSANS","EQ","15-Mar-2019","         25.70","         25.80","         26.15","         24.55","         24.70","         24.80","         25.34","    1192585","            30216964.30","       3506","     765064","         64.15"
"MARKSANS","EQ","18-Mar-2019","         24.80","         25.00","         25.10","         24.55","         24.75","         24.70","         24.76","     760029","            18820550.85","       2370","     450620","         59.29"
"MARKSANS","EQ","19-Mar-2019","         24.70","         24.85","         25.50","         24.40","         25.00","         25.05","         25.06","    1098520","            27533414.55","       4020","     447548","         40.74"
"MARKSANS","EQ","20-Mar-2019","         25.05","         25.35","         25.45","         24.70","         24.75","         24.75","         24.95","     860498","            21467962.50","       2073","     552191","         64.17"
"MARKSANS","EQ","22-Mar-2019","         24.75","         24.95","         24.95","         24.20","         24.70","         24.40","         24.59","     728283","            17905735.05","       2384","     374851","         51.47"
"MARKSANS","EQ","25-Mar-2019","         24.40","         24.15","         24.45","         23.90","         23.95","         23.95","         24.10","     436110","            10509379.75","       1658","     287601","         65.95"
"MARKSANS","EQ","26-Mar-2019","         23.95","         24.25","         24.35","         23.65","         23.85","         23.85","         23.90","     760853","            18184220.20","       2170","     443058","         58.23"
"MARKSANS","EQ","27-Mar-2019","         23.85","         23.90","         24.75","         23.90","         24.55","         24.60","         24.46","    1182243","            28914198.60","       3834","     645691","         54.62"
"MARKSANS","EQ","28-Mar-2019","         24.60","         24.90","         25.10","         24.60","         24.80","         24.70","         24.78","     678823","            16820012.85","       1798","     373873","         55.08"
"MARKSANS","EQ","29-Mar-2019","         24.70","         24.90","         25.35","         24.75","         24.95","         24.95","         25.03","     678044","            16971045.90","       1922","     344476","         50.80"
"MARKSANS","EQ","01-Apr-2019","         24.95","         25.00","         26.55","         25.00","         26.00","         25.95","         26.04","    1596474","            41575822.45","       3515","     924937","         57.94"
"MARKSANS","EQ","02-Apr-2019","         25.95","         26.00","         26.65","         25.50","         26.05","         26.10","         26.08","    1046974","            27305363.05","       2547","     513708","         49.07"
"MARKSANS","EQ","03-Apr-2019","         26.10","         26.10","         26.45","         25.15","         25.30","         25.25","         25.67","     645820","            16580089.20","       1883","     350545","         54.28"
"MARKSANS","EQ","04-Apr-2019","         25.25","         25.30","         25.50","         24.65","         25.00","         25.05","         25.01","    1167675","            29205973.95","       2901","     374772","         32.10"
"MARKSANS","EQ","05-Apr-2019","         25.05","         25.10","         25.25","         24.80","         25.10","         25.10","         25.09","     575742","            14446907.40","       1678","     321041","         55.76"
"MARKSANS","EQ","08-Apr-2019","         25.10","         25.30","         25.40","         24.10","         24.65","         24.70","         24.79","     672966","            16685497.60","       2487","     346516","         51.49"
"MARKSANS","EQ","09-Apr-2019","         24.70","         24.70","         25.80","         24.40","         25.10","         25.30","         25.09","     963483","            24174434.50","       2940","     456728","         47.40"
"MARKSANS","EQ","10-Apr-2019","         25.30","         25.00","         26.15","         24.80","         25.90","         25.90","         25.60","    1226194","            31387744.65","       3674","     592155","         48.29"
"MARKSANS","EQ","11-Apr-2019","         25.90","         26.45","         26.90","         26.15","         26.45","         26.30","         26.45","    2260918","            59799640.50","       6227","    1000028","         44.23"
"MARKSANS","EQ","12-Apr-2019","         26.30","         26.30","         26.30","         25.70","         25.80","         25.85","         25.92","     571639","            14818451.30","       1579","     301464","         52.74"
"MARKSANS","EQ","15-Apr-2019","         25.85","         26.40","         26.40","         25.55","         25.70","         25.65","         25.87","     727910","            18833437.55","       2191","     344095","         47.27"
"MARKSANS","EQ","16-Apr-2019","         25.65","         25.65","         25.85","         25.55","         25.65","         25.60","         25.66","     413755","            10618508.45","       1204","     212671","         51.40"
"MARKSANS","EQ","18-Apr-2019","         25.60","         25.60","         25.65","         24.90","         24.95","         25.00","         25.14","     879287","            22102782.65","       1775","     588058","         66.88"
"MARKSANS","EQ","22-Apr-2019","         25.00","         25.10","         25.10","         24.15","         24.20","         24.25","         24.42","     820156","            20028727.60","       2162","     575337","         70.15"
"MARKSANS","EQ","23-Apr-2019","         24.25","         24.20","         24.70","         24.00","         24.40","         24.30","         24.38","     454958","            11090749.10","       1602","     243358","         53.49"
"MARKSANS","EQ","24-Apr-2019","         24.30","         24.30","         24.65","         24.00","         24.35","         24.25","         24.32","     514133","            12503907.60","       1524","     270345","         52.58"
"MARKSANS","EQ","25-Apr-2019","         24.25","         24.40","         24.50","         24.00","         24.15","         24.15","         24.28","     471405","            11447336.00","       1361","     203132","         43.09"
"MARKSANS","EQ","26-Apr-2019","         24.15","         24.40","         24.65","         24.15","         24.20","         24.30","         24.32","     483839","            11767746.95","       1452","     181617","         37.54"
"MARKSANS","EQ","30-Apr-2019","         24.30","         24.00","         24.40","         23.50","         23.55","         23.60","         23.75","     681365","            16179945.30","       3112","     418731","         61.45"
"MARKSANS","EQ","02-May-2019","         23.60","         23.60","         23.60","         23.15","         23.15","         23.20","         23.31","     828866","            19324058.95","       2712","     381295","         46.00"
"MARKSANS","EQ","03-May-2019","         23.20","         23.20","         23.60","         23.20","         23.35","         23.35","         23.38","     384937","             8998517.80","       1330","     207039","         53.79"
"MARKSANS","EQ","06-May-2019","         23.35","         23.05","         23.50","         22.70","         23.00","         23.00","         23.09","     602005","            13900332.60","       1824","     284763","         47.30"
"MARKSANS","EQ","07-May-2019","         23.00","         23.10","         23.75","         22.50","         23.40","         23.15","         23.36","    1000921","            23381731.10","       2896","     314503","         31.42"
"MARKSANS","EQ","08-May-2019","         23.15","         23.40","         23.40","         22.80","         22.90","         22.90","         22.98","     538315","            12371869.75","       2071","     275118","         51.11"
"MARKSANS","EQ","09-May-2019","         22.90","         23.05","         23.10","         22.75","         22.75","         22.80","         22.87","     328554","             7515293.55","       1482","     174044","         52.97"
"MARKSANS","EQ","10-May-2019","         22.80","         22.80","         23.30","         22.75","         22.90","         22.85","         22.92","     352758","             8083705.75","       1252","     146905","         41.64"
"MARKSANS","EQ","13-May-2019","         22.85","         23.20","         23.20","         21.70","         21.90","         21.90","         22.24","     619368","            13777722.80","       2032","     347507","         56.11"
"MARKSANS","EQ","14-May-2019","         21.90","         21.90","         22.00","         21.00","         21.50","         21.40","         21.34","     647803","            13825924.70","       2394","     295380","         45.60"
"MARKSANS","EQ","15-May-2019","         21.40","         21.50","         22.20","         21.40","         21.45","         21.50","         21.74","     477005","            10368333.85","       1939","     231819","         48.60"
"MARKSANS","EQ","16-May-2019","         21.50","         21.50","         21.70","         21.05","         21.45","         21.30","         21.20","     484761","            10278468.55","       1237","     242042","         49.93"
"MARKSANS","EQ","17-May-2019","         21.30","         21.30","         21.75","         21.30","         21.50","         21.50","         21.47","     389238","             8357971.30","       1295","     143115","         36.77"
"MARKSANS","EQ","20-May-2019","         21.50","         22.60","         22.80","         21.90","         22.55","         22.50","         22.42","    1102270","            24709703.05","       2784","     550923","         49.98"
"MARKSANS","EQ","21-May-2019","         22.50","         22.70","         23.25","         22.35","         22.50","         22.60","         22.76","     633768","            14426929.95","       1790","     264929","         41.80"
"MARKSANS","EQ","22-May-2019","         22.60","         22.60","         22.85","         22.25","         22.65","         22.70","         22.54","     356833","             8042983.65","       1064","     177611","         49.77"
"MARKSANS","EQ","23-May-2019","         22.70","         22.90","         23.45","         22.30","         22.40","         22.50","         22.94","     850625","            19515695.00","       2880","     400690","         47.11"
